old_size,old_sizeh,new_size,new_sizeh,dif,idx
17964,17.54 KB,47703,46.58 KB,29739,256
19076,18.63 KB,171478,167.46 KB,152402,257
24146,23.58 KB,56743,55.41 KB,32597,258
31774,31.03 KB,-1,-1,-31774,259
24975,24.39 KB,51456,50.25 KB,26481,260
22680,22.15 KB,68875,67.26 KB,46195,261
64012,62.51 KB,42213,41.22 KB,-21799,262
25984,25.38 KB,54392,53.12 KB,28408,263
89655,87.55 KB,149416,145.91 KB,59761,264
12969,12.67 KB,269136,262.83 KB,256167,265
19245,18.79 KB,37792,36.91 KB,18547,266
33440,32.66 KB,52887,51.65 KB,19447,267
13297,12.99 KB,38260,37.36 KB,24963,268
14566,14.22 KB,76944,75.14 KB,62378,269
16189,15.81 KB,125825,122.88 KB,109636,270
23119,22.58 KB,54062,52.79 KB,30943,271
13616,13.3 KB,41391,40.42 KB,27775,272
21389,20.89 KB,51344,50.14 KB,29955,273
12124,11.84 KB,47935,46.81 KB,35811,274
11394,11.13 KB,27507,26.86 KB,16113,275
44366,43.33 KB,84260,82.29 KB,39894,276
19033,18.59 KB,47051,45.95 KB,28018,277
19162,18.71 KB,28866,28.19 KB,9704,278
12113,11.83 KB,27522,26.88 KB,15409,279
14066,13.74 KB,31521,30.78 KB,17455,280
86595,84.57 KB,84422,82.44 KB,-2173,281
22500,21.97 KB,39662,38.73 KB,17162,282
14718,14.37 KB,41836,40.86 KB,27118,283
15765,15.4 KB,54473,53.2 KB,38708,284
13218,12.91 KB,31226,30.49 KB,18008,285
25114,24.53 KB,40176,39.23 KB,15062,286
49405,48.25 KB,96583,94.32 KB,47178,287
23682,23.13 KB,60361,58.95 KB,36679,288
12641,12.34 KB,29432,28.74 KB,16791,289
95630,93.39 KB,179508,175.3 KB,83878,290
10756,10.5 KB,45262,44.2 KB,34506,291
14765,14.42 KB,29410,28.72 KB,14645,292
13920,13.59 KB,37835,36.95 KB,23915,293
19718,19.26 KB,75453,73.68 KB,55735,294
45700,44.63 KB,81795,79.88 KB,36095,295
11916,11.64 KB,35130,34.31 KB,23214,296
9100,8.89 KB,22561,22.03 KB,13461,297
21563,21.06 KB,73713,71.99 KB,52150,298
15243,14.89 KB,48313,47.18 KB,33070,299
10840,10.59 KB,-1,-1,-10840,300
14026,13.7 KB,29298,28.61 KB,15272,301
41686,40.71 KB,61832,60.38 KB,20146,302
11383,11.12 KB,24527,23.95 KB,13144,303
24631,24.05 KB,85146,83.15 KB,60515,304
11813,11.54 KB,-1,-1,-11813,305
12089,11.81 KB,24932,24.35 KB,12843,306
9108,8.89 KB,28793,28.12 KB,19685,307
49645,48.48 KB,243800,238.09 KB,194155,308
11170,10.91 KB,40041,39.1 KB,28871,309
33543,32.76 KB,235942,230.41 KB,202399,310
18358,17.93 KB,30556,29.84 KB,12198,311
12035,11.75 KB,34130,33.33 KB,22095,312
17655,17.24 KB,34491,33.68 KB,16836,313
12174,11.89 KB,28588,27.92 KB,16414,314
24780,24.2 KB,65862,64.32 KB,41082,315
28125,27.47 KB,45920,44.84 KB,17795,316
10773,10.52 KB,28630,27.96 KB,17857,317
12849,12.55 KB,31401,30.67 KB,18552,318
33392,32.61 KB,46292,45.21 KB,12900,319
12764,12.46 KB,43776,42.75 KB,31012,320
11255,10.99 KB,30563,29.85 KB,19308,321
37821,36.93 KB,50977,49.78 KB,13156,322
13293,12.98 KB,28728,28.05 KB,15435,323
13786,13.46 KB,65347,63.82 KB,51561,324
7568,7.39 KB,-1,-1,-7568,325
25057,24.47 KB,38308,37.41 KB,13251,326
21524,21.02 KB,39341,38.42 KB,17817,327
13398,13.08 KB,29588,28.89 KB,16190,328
11936,11.66 KB,27260,26.62 KB,15324,329
28155,27.5 KB,38296,37.4 KB,10141,330
12011,11.73 KB,32515,31.75 KB,20504,331
27886,27.23 KB,40408,39.46 KB,12522,332
15028,14.68 KB,29961,29.26 KB,14933,333
11030,10.77 KB,30789,30.07 KB,19759,334
43791,42.76 KB,75698,73.92 KB,31907,335
13921,13.59 KB,32864,32.09 KB,18943,336
24715,24.14 KB,57192,55.85 KB,32477,337
10855,10.6 KB,29365,28.68 KB,18510,338
15207,14.85 KB,29321,28.63 KB,14114,339
19791,19.33 KB,129626,126.59 KB,109835,340
13539,13.22 KB,25338,24.74 KB,11799,341
63832,62.34 KB,102426,100.03 KB,38594,342
13518,13.2 KB,29701,29 KB,16183,343
30925,30.2 KB,60075,58.67 KB,29150,344
19346,18.89 KB,45764,44.69 KB,26418,345
63349,61.86 KB,72419,70.72 KB,9070,346
29151,28.47 KB,49711,48.55 KB,20560,347
27856,27.2 KB,22794,22.26 KB,-5062,348
10177,9.94 KB,33176,32.4 KB,22999,349
13632,13.31 KB,29282,28.6 KB,15650,350
305278,298.12 KB,409996,400.39 KB,104718,351
11334,11.07 KB,41418,40.45 KB,30084,352
11294,11.03 KB,24974,24.39 KB,13680,353
13694,13.37 KB,23927,23.37 KB,10233,354
46128,45.05 KB,67487,65.91 KB,21359,355
44190,43.15 KB,103391,100.97 KB,59201,356
28027,27.37 KB,55435,54.14 KB,27408,357
18682,18.24 KB,55363,54.07 KB,36681,358
22102,21.58 KB,52677,51.44 KB,30575,359
16787,16.39 KB,41956,40.97 KB,25169,360
34479,33.67 KB,41089,40.13 KB,6610,361
306234,299.06 KB,-1,-1,-306234,362
37336,36.46 KB,56386,55.06 KB,19050,363
25344,24.75 KB,56625,55.3 KB,31281,364
18771,18.33 KB,34463,33.66 KB,15692,365
29070,28.39 KB,47931,46.81 KB,18861,366
15588,15.22 KB,30509,29.79 KB,14921,367
30205,29.5 KB,44738,43.69 KB,14533,368
28881,28.2 KB,53312,52.06 KB,24431,369
12081,11.8 KB,124647,121.73 KB,112566,370
24162,23.6 KB,62204,60.75 KB,38042,371
