wc,vc
2799,1169
2802,1170
2806,1171
2809,1172
2810,1173
2812,1174
2817,1175
2822,1176
2840,1177
2841,1178
2842,1179
2878,1180
2886,1181
2893,1182
2894,1183
2896,1184
2897,1185
2898,1186
2899,1187
2900,1188
2901,1189
2902,1190
2904,1191
2905,1192
2946,1193
2948,1194
2983,1195
2984,1196
2987,1197
2991,1198
2993,1199
2994,1200
2997,1201
2999,1202
3000,1203
3002,1204
3004,1205
3005,1206
3008,1207
3011,1208
3018,1209
3019,1210
3021,1211
3023,1212
3024,1213
3030,1214
3032,1215
3035,1216
3038,1217
3040,1218
3042,1219
3043,1220
3045,1221
3065,1222
3066,1223
3068,1224
3070,1225
3074,1226
3082,1227
3083,1228
3085,1229
3086,1230
3088,1231
3091,1232
3093,1233
3098,1234
3099,1235
3101,1236
3102,1237
3105,1238
3108,1239
3109,1240
3110,1241
3111,1242
3115,1243
3116,1244
3119,1245
3121,1246
3125,1247
3126,1248
3129,1249
3136,1250
3137,1251
3141,1252
3142,1253
3145,1254
3146,1255
3148,1256
3149,1257
3151,1258
3152,1259
3153,1260
3155,1261
3157,1262
3159,1263
3164,1264
3166,1265
3169,1266
3173,1267
3174,1268
3177,1269
3178,1270
3180,1271
3181,1272
3182,1273
3185,1274
3188,1275
3190,1276
3191,1277
3192,1278
3197,1279
3201,1280
3206,1281
3207,1282
3209,1283
3213,1284
3214,1285
3215,1286
3219,1287
3222,1288
3226,1289
3227,1290
3228,1291
3230,1292
3232,1293
3234,1294
3235,1295
3245,1296
3264,1297
3265,1298
3269,1299
3271,1300
3272,1301
3274,1302
3277,1303
3284,1304
3286,1305
3288,1306
3292,1307
3294,1308
3296,1309
3300,1310
3303,1311
3304,1312
3305,1313
3311,1314
3314,1315
3317,1316
3318,1317
3321,1318
3324,1319
3326,1320
3327,1321
3329,1322
3330,1323
3331,1324
3332,1325
3336,1326
3338,1327
3342,1328
3343,1329
3344,1330
3347,1331
3352,1332
3355,1333
3360,1334
3363,1335
3365,1336
3366,1337
3367,1338
3370,1339
