q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
49,0.36188,2.00000,0.25000,8.00000,0.20000,0.48523,0.25000,1.25000,10.00000,8.00000,0.36188,0.20000,0.36188,0.20000,0.20000,0.36188,0.20000,0.36188,0.20000,0.40000,0.36188,0.36188,0.20000,0.20000,0.18750,0.25000,1.00000,0.36188
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.00000,1.00000,1.00000,1.00000,0.10000,1.00000,1.00000,10.00000,10.00000,9.00000,1.00000,0.10000,1.00000,0.10000,0.10000,1.00000,0.10000,1.00000,0.10000,0.20000,1.00000,1.00000,0.10000,0.10000,1.00000,1.00000,1.00000,1.00000
58,0.29101,5.00000,0.00000,30.00000,0.50000,0.69921,0.16667,0.33333,10.00000,5.00000,0.29101,0.50000,0.58679,0.50000,0.50000,0.29101,0.50000,0.29101,0.50000,0.60000,0.29101,0.37870,0.50000,0.50000,0.12500,0.16667,1.00000,0.29101
59,0.22766,5.00000,0.00000,43.00000,0.50000,0.78601,0.11628,0.23256,10.00000,5.00000,0.22766,0.50000,0.58343,0.50000,0.50000,0.22766,0.50000,0.28935,0.50000,0.80000,0.22766,0.37653,0.50000,0.50000,0.09142,0.11628,1.00000,0.22766
60,0.17126,3.00000,0.00000,27.00000,0.30000,0.38357,0.11111,0.37037,10.00000,7.00000,0.17126,0.30000,0.32227,0.30000,0.30000,0.17126,0.30000,0.17126,0.30000,0.40000,0.17126,0.20798,0.30000,0.30000,0.05908,0.11111,0.50000,0.17126
61,0.38388,7.00000,0.00000,31.00000,0.70000,1.00000,0.22581,0.32258,10.00000,3.00000,0.38388,0.70000,0.79095,0.70000,0.70000,0.38388,0.70000,0.39226,0.70000,1.00000,0.38388,0.51045,0.70000,0.70000,0.21613,0.22581,1.00000,0.38388
62,0.00000,0.00000,0.00000,8.00000,0.00000,0.00000,0.00000,1.25000,10.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,0.44905,4.00000,0.00000,12.00000,0.40000,0.65481,0.33333,0.83333,10.00000,6.00000,0.44905,0.40000,0.50332,0.40000,0.40000,0.44905,0.40000,0.44905,0.40000,0.60000,0.44905,0.44905,0.40000,0.40000,0.25694,0.33333,1.00000,0.44905
